t.day,sp,numbr,small,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,max_type,tlp
233.6641443,CADE,1631.1,large,2,CADE 1631.1 2 MPa,CADE 1631.1,280,4.65,-0.167713874,0.998181757,-46.95988458,-2.765229833,v18,11.35118996,native,
234.4879035,CADE,1631.1,large,0,CADE 1631.1 0 MPa,CADE 1631.1,279,4.65,-0.189867183,0.999587538,-52.97294409,-3.119308462,v18,0,vacuum,
240.4301821,CADE,1631.1,large,2,CADE 1631.1 2 MPa,CADE 1631.1,275,4.65,-0.173117621,0.991927206,-47.60734587,-2.80335555,v18,10.12894093,NA,
240.4508293,CADE,1631.1,large,4,CADE 1631.1 4 MPa,CADE 1631.1,275,4.65,-0.150851296,0.996822601,-41.48410628,-2.442788974,v18,21.68812402,NA,
240.4845107,CADE,1631.1,large,5,CADE 1631.1 5 MPa,CADE 1631.1,275,4.65,-0.159567304,0.999621268,-43.8810085,-2.58393041,v18,17.16335716,NA,
240.4990644,CADE,1631.1,large,6,CADE 1631.1 6 MPa,CADE 1631.1,275,4.65,-0.129534309,0.999833441,-35.62193502,-2.09759539,v18,32.75447375,NA,
240.5135692,CADE,1631.1,large,7,CADE 1631.1 7 MPa,CADE 1631.1,275,4.65,-0.065358584,0.998714716,-17.97361048,-1.058374916,v18,66.07020661,NA,
240.5282857,CADE,1631.1,large,8,CADE 1631.1 8 MPa,CADE 1631.1,275,4.65,-0.044614748,0.997265215,-12.26905582,-0.722462576,v18,76.83901466,NA,
240.5417464,CADE,1631.1,large,9.5,CADE 1631.1 9.5 MPa,CADE 1631.1,275,4.65,-0.013073698,0.967826911,-3.595267073,-0.211707074,v18,93.21301254,NA,
233.6693446,CADE,1631.2,large,2,CADE 1631.2 2 MPa,CADE 1631.2,280,4.65,-0.153002098,0.999952902,-42.84058751,-2.522665286,v18,7.117416557,native,
234.4303381,CADE,1631.2,large,0,CADE 1631.2 0 MPa,CADE 1631.2,279,4.65,-0.165316776,0.996200756,-46.12338064,-2.715972351,v18,0,vacuum,
234.520616,CADE,1631.3,large,2,CADE 1631.3 2 MPa,CADE 1631.3,280,6.69,-0.169592514,0.998971558,-47.48590378,-1.350898101,v18,-2.91234402,native,
235.4251605,CADE,1631.3,large,0,CADE 1631.3 0 MPa,CADE 1631.3,279,6.69,-0.165383826,0.999982785,-46.14208746,-1.312668674,v18,0,vacuum,
233.5723644,PILA,2036.1,small,2,PILA 2036.1 2 MPa,PILA 2036.1,280,4.84,-0.103675754,0.997304495,-29.02921105,-1.577809723,v18,2.823775652,native,
234.4777939,PILA,2036.1,small,0,PILA 2036.1 0 MPa,PILA 2036.1,279,4.84,-0.10707079,0.998628782,-29.8727505,-1.623658188,v18,0,vacuum,
233.638174,CADE,2111.1,large,2,CADE 2111.1 2 MPa,CADE 2111.1,280,4.2,-0.139697228,0.999749457,-39.11522395,-2.823302151,v18,6.157140099,native,
234.5047617,CADE,2111.1,large,0,CADE 2111.1 0 MPa,CADE 2111.1,279,4.2,-0.149396486,0.999490248,-41.68161967,-3.008542316,v18,0,vacuum,
234.5423495,CADE,2111.2,large,2,CADE 2111.2 2 MPa,CADE 2111.2,279,4.96,-0.300420467,0.999970058,-83.81731039,-4.337909491,v18,5.467569481,native,
235.4011871,CADE,2111.2,large,0,CADE 2111.2 0 MPa,CADE 2111.2,279,4.96,-0.317796195,0.999641009,-88.66513844,-4.588805627,v18,0,vacuum,
240.409996,CADE,2111.2,large,2,CADE 2111.2 2 MPa,CADE 2111.2,279,4.96,-0.307947931,0.991941641,-85.9174728,-4.446602008,v18,3.09892443,NA,
240.4266494,CADE,2111.2,large,4,CADE 2111.2 4 MPa,CADE 2111.2,275,4.96,-0.260493196,0.999670095,-71.63562882,-3.707454614,v18,19.20654489,NA,
240.4453925,CADE,2111.2,large,6,CADE 2111.2 6 MPa,CADE 2111.2,275,4.96,-0.036643308,0.999408444,-10.07690961,-0.521523795,v18,88.63486846,NA,
234.5777374,CADE,2111.3,large,0,CADE 2111.3 0 MPa,CADE 2111.3,280,3.69,-0.049013782,0.999753024,-13.72385894,-1.283316068,v18,61.04379251,native,
235.4056584,CADE,2111.3,large,0,CADE 2111.3 0 MPa,CADE 2111.3,279,3.69,-0.126268602,0.999964395,-35.22893994,-3.294253086,v18,0,vacuum,
233.5813868,PILA,2129.1,large,2,PILA 2129.1 2 MPa,PILA 2129.1,280,5.89,-0.42295614,0.99755855,-118.4277193,-4.346432053,v18,10.04852202,native,
234.4824008,PILA,2129.1,large,0,PILA 2129.1 0 MPa,PILA 2129.1,279,5.89,-0.471890092,0.999999999,-131.6573357,-4.831974027,v18,0,vacuum,
234.5618911,CADE,2144.1,large,0,CADE 2144.1 0 MPa,CADE 2144.1,280,4.31,-0.244182267,0.998320955,-68.37103481,-4.686274581,v18,16.70750489,native,
